30 390
0 1 12.5
0 2 14.5
0 3 11.8
0 4 15.2
0 5 14
0 7 13.7
0 9 8.12
0 10 10.9
0 12 15.9
0 15 8.07
0 16 12.3
0 19 9.33
0 21 10.8
0 22 12.9
0 23 14.4
0 24 10.4
0 28 12.3
0 29 11.7
1 3 9.68
1 4 14.8
1 5 16
1 6 11.1
1 8 14.7
1 9 11
1 10 13.4
1 11 8.07
1 13 10.2
1 14 13.5
1 15 13.8
1 16 9.64
1 17 11.7
1 20 8.87
1 23 12.9
1 24 10.9
1 25 9.8
1 26 14.4
1 27 15.9
2 1 13.3
2 4 13.6
2 5 9.18
2 7 15.2
2 9 11.4
2 11 13.5
2 13 14.6
2 14 9.53
2 16 11.8
2 17 12
2 18 11.2
2 19 12.6
2 20 14
2 21 11.8
2 22 10.9
2 23 8.28
2 24 13.3
2 25 8.84
2 27 12.4
2 28 11.8
2 29 14.8
3 2 11.6
3 6 13.9
3 7 9.57
3 8 14.7
3 9 12
3 10 8.22
3 11 12.6
3 12 12.3
3 13 14.7
3 14 13.3
3 15 14.7
3 16 8.88
3 17 10.5
3 18 10.3
3 20 13.9
3 21 13.7
3 22 14
3 23 9.16
3 24 8.49
3 26 9.68
3 27 12.4
3 28 8.91
3 29 14
4 3 12.3
4 12 12.3
4 14 12
4 15 13.6
4 19 16
4 20 16
4 21 13
4 22 11.5
4 24 15.2
4 26 14.2
4 27 9.62
4 28 12.8
4 29 11.7
5 3 13.1
5 6 13
5 8 11
5 9 13.9
5 10 15.2
5 11 9.51
5 13 12.7
5 16 13.9
5 17 13
5 18 14.4
5 19 12.6
5 20 15.3
5 21 13.8
5 23 15.8
5 25 10.4
5 26 8.87
5 27 14.8
5 28 9.24
6 7 12.4
6 8 11.3
6 9 11.7
6 12 13.9
6 13 14.6
6 16 10.4
6 17 9.02
6 18 14.3
6 19 12.9
6 21 15
6 23 8.84
6 24 9.82
6 26 12.4
6 28 11.9
7 1 14.3
7 4 11.1
7 5 12.3
7 8 11.2
7 9 13.7
7 10 13
7 11 11.9
7 12 12
7 13 14.3
7 17 9.41
7 18 9.05
7 19 15.6
7 20 8.22
7 22 13.1
7 24 14.9
7 25 13.8
7 26 8.12
7 27 13.7
8 0 9.35
8 2 10.7
8 4 10.9
8 9 14.4
8 10 12.2
8 12 15.2
8 13 13
8 14 10
8 15 14.8
8 16 11.4
8 17 10.4
8 18 9.8
8 21 9.08
8 24 14.3
8 25 12.9
8 26 14.9
8 27 14.9
8 29 12.3
9 4 8.43
9 10 12.2
9 11 8.76
9 12 15.1
9 15 15.5
9 17 8.47
9 19 11.2
9 20 15.6
9 21 12.3
9 22 13.5
9 23 10.1
9 24 12.2
9 25 11.2
